plno,treat,nofull,nostruct
1,1,1,33
1,2,0,24
1,3,17,23
1,4,9,19
1,5,201,224
2,2,0,13
2,3,2,16
2,4,8,24
2,5,51,240
3,1,1,46
3,2,0,16
3,3,9,16
3,4,10,24
3,5,8,240
4,1,2,38
4,2,0,15
4,3,5,14
4,4,8,16
4,5,46,107
5,1,0,62
5,2,0,34
5,3,8,28
5,4,10,32
5,5,38,162
6,1,1,24
6,2,0,14
6,3,3,9
6,4,12,19
6,5,16,24
7,1,0,18
7,2,0,18
7,3,11,12
7,4,11,14
7,5,59,100
8,1,0,28
8,2,0,25
8,3,7,34
8,4,9,16
8,5,147,241
9,1,1,26
9,2,0,11
9,3,4,13
9,4,6,15
9,5,17,58
10,1,1,56
10,2,0,20
10,3,9,18
10,4,11,17
10,5,78,133
11,1,12,32
11,2,0,24
11,3,9,19
11,4,7,10
11,5,174,209
12,1,2,48
12,2,0,8
12,3,5,14
12,4,2,10
12,5,20,144
13,1,0,84
13,2,1,14
13,3,8,23
13,4,1,14
13,5,21,105
14,1,8,50
14,2,6,26
14,3,13,31
14,4,8,20
14,5,28,81
15,2,1,28
15,3,11,23
15,4,0,12
16,1,10,79
16,2,0,23
16,3,19,28
16,4,15,23
16,5,23,50
17,1,1,75
17,2,0,24
17,3,12,25
17,4,4,17
17,5,39,105
18,1,5,30
18,2,0,12
18,3,7,11
18,4,3,4
18,5,60,79
19,1,3,55
19,2,0,14
19,3,8,20
19,4,7,13
19,5,44,115
20,1,4,45
20,2,0,5
20,3,3,8
20,4,6,9
20,5,20,55
