Obs,plno,treat,_TYPE_,_FREQ_,NOFULL,NOOVULES
1,1,1,0,1,14,26
2,1,3,0,14,224,322
3,1,4,0,5,82,108
4,1,5,0,10,188,210
5,2,1,0,2,10,45
6,2,3,0,2,35,49
7,2,4,0,8,91,182
8,2,5,0,10,167,218
9,3,1,0,1,11,19
10,3,3,0,8,132,195
11,3,4,0,10,184,248
12,3,5,0,10,147,255
13,4,1,0,2,17,51
14,4,3,0,5,115,134
15,4,4,0,6,119,147
16,4,5,0,8,86,195
17,5,3,0,8,104,166
18,5,4,0,9,161,233
19,5,5,0,9,150,211
20,6,1,0,1,8,21
21,6,3,0,3,33,63
22,6,4,0,12,243,268
23,6,5,0,12,186,244
24,7,3,0,10,172,208
25,7,4,0,10,192,224
26,7,5,0,8,145,166
27,8,3,0,5,41,113
28,8,4,0,7,89,174
29,8,5,0,9,132,233
30,9,1,0,1,15,16
31,9,3,0,3,41,54
32,9,4,0,6,82,116
33,9,5,0,8,99,141
34,10,1,0,1,6,15
35,10,3,0,7,126,149
36,10,4,0,11,201,250
37,10,5,0,12,139,251
38,11,1,0,11,119,204
39,11,3,0,7,69,131
40,11,4,0,4,65,85
41,11,5,0,12,201,239
42,12,1,0,2,37,40
43,12,3,0,5,68,103
44,12,5,0,9,99,171
45,13,3,0,8,168,207
46,13,4,0,1,14,30
47,13,5,0,10,168,227
48,14,1,0,8,102,167
49,14,3,0,11,181,249
50,14,4,0,7,101,146
51,14,5,0,7,56,133
52,15,1,0,4,78,94
53,15,3,0,11,37,237
54,15,5,0,3,36,54
55,16,1,0,10,152,233
56,16,3,0,19,235,463
57,16,4,0,15,294,374
58,16,5,0,10,149,230
59,17,1,0,1,4,21
60,17,3,0,9,99,198
61,17,4,0,4,56,82
62,17,5,0,5,58,108
63,18,1,0,5,42,105
64,18,3,0,7,92,150
65,18,4,0,3,43,67
66,18,5,0,10,146,209
67,19,1,0,3,46,69
68,19,3,0,7,98,149
69,19,4,0,7,97,134
70,19,5,0,9,104,200
71,20,1,0,4,62,95
72,20,3,0,2,28,56
73,20,4,0,6,123,159
74,20,5,0,5,64,127
