"","ID","Observers","tag","lg","lf","tp","IDI"
"408",408,"J.L",1221,38.3,8,1,247
"568",571,"J.L",1124,40.8,9,1,136
"583",586,"J.L",1135,39.8,6,1,148
"220",220,"L.M",1300,29,3,2,337
"395",395,"J.L",1209,45.1,6,1,233
"494",496,"J.L",1047,55.4,6,1,49
"243",243,"L.M",1351,36.4,5,1,400
"1",1,"R.A",1236,46.9,7,1,263
"341",341,"L.M",1330,31.6,6,1,375
"306",306,"L.M",1440,24.9,3,1,502
"193",193,"R.A",1072,49.6,4,1,77
"574",577,"J.L",1118,38.1,9,1,130
"529",531,"J.L",1039,44.6,6,1,41
"162",162,"R.A",1547,31.4,10,1,617
"546",548,"J.L",1325,34.7,6,2,368
"52",52,"R.A",1434,35.3,8,1,496
"530",532,"J.L",1043,40,10,1,45
"316",316,"L.M",1158,37.4,7,1,173
"182",182,"R.A",1081,47.2,6,1,88
"578",581,"J.L",1111,34.6,4,2,123
"33",33,"R.A",1275,32,8,1,307
"37",37,"R.A",1272,54.1,3,1,303
"620",623,"C.D",1043,40.1,10,1,45
"403",403,"J.L",1217,45,6,1,243
"538",540,"J.L",1322,28,2,2,364
"284",284,"L.M",1584,20.4,12,1,659
"226",226,"L.M",1278,37.7,8,1,311
"133",133,"R.A",1539,44.8,8,1,609
"590",593,"J.L",1315,9.2,1,1,355
"569",572,"J.L",1123,53.9,9,1,135
"438",439,"J.L",1191,41,9,1,211
"467",469,"J.L",1511,43.1,8,1,580
"235",235,"L.M",1364,37.1,11,1,413
"247",247,"L.M",1344,40.1,7,1,392
"176",176,"R.A",1086,33.8,7,2,95
"415",415,"J.L",1198,39.6,5,1,219
"305",305,"L.M",1438,31,4,1,500
"228",228,"L.M",1137,44.5,7,1,150
"499",501,"J.L",1027,34.7,7,1,28
"455",457,"J.L",1179,38.8,9,1,198
